Nome,Partido,Estado,Email,Telefone
ANGELIM,PT,AC,dep.angelim@camara.leg.br,3215-5543
ANÍBAL GOMES,PMDB,CE,dep.anibalgomes@camara.leg.br,3215-5731
ANTONIO BRITO,PSD,BA,dep.antoniobrito@camara.leg.br,3215-5479
ANTONIO BULHÕES,PRB,SP,dep.antoniobulhoes@camara.leg.br,3215-5327
ANTONIO CARLOS MENDES THAME,PV,SP,dep.antoniocarlosmendesthame@camara.leg.br,3215-5626
ANTONIO IMBASSAHY,PSDB,BA,dep.antonioimbassahy@camara.leg.br,3215-5810
ANTÔNIO JÁCOME,PODE,RN,dep.antoniojacome@camara.leg.br,3215-5230
ARIOSTO HOLANDA,PDT,CE,dep.ariostoholanda@camara.leg.br,3215-5522
ARLINDO CHINAGLIA,PT,SP,dep.arlindochinaglia@camara.leg.br,3215-5966
ARNALDO FARIA DE SÁ,PTB,SP,dep.arnaldofariadesa@camara.leg.br,3215-5929
ARNALDO JORDY,PPS,PA,dep.arnaldojordy@camara.leg.br,3215-5506
AROLDE DE OLIVEIRA,PSC,RJ,dep.aroldedeoliveira@camara.leg.br,3215-5917
ARTHUR LIRA,PP,AL,dep.arthurlira@camara.leg.br,3215-5942
ARTHUR OLIVEIRA MAIA,PPS,BA,dep.arthuroliveiramaia@camara.leg.br,3215-5830
ASSIS CARVALHO,PT,PI,dep.assiscarvalho@camara.leg.br,3215-5909
ASSIS DO COUTO,PDT,PR,dep.assisdocouto@camara.leg.br,3215-5428
ÁTILA LINS,PSD,AM,dep.atilalins@camara.leg.br,3215-5730
ÁTILA LIRA,PSB,PI,dep.atilalira@camara.leg.br,3215-5640
AUGUSTO CARVALHO,SD,DF,dep.augustocarvalho@camara.leg.br,3215-5215
AUGUSTO COUTINHO ,SD,PE,dep.augustocoutinho@camara.leg.br,3215-5373
AUREO,SD,RJ,dep.aureo@camara.leg.br,3215-5212
BACELAR,PODE,BA,dep.bacelar@camara.leg.br,3215-5381
BALEIA ROSSI,PMDB,SP,dep.baleiarossi@camara.leg.br,3215-5829
BEBETO,PSB,BA,dep.bebeto@camara.leg.br,3215-5541
BENEDITA DA SILVA,PT,RJ,dep.beneditadasilva@camara.leg.br,3215-5330
BENITO GAMA,PTB,BA,dep.benitogama@camara.leg.br,3215-5414
BENJAMIN MARANHÃO,SD,PB,dep.benjaminmaranhao@camara.leg.br,3215-5458
BETINHO GOMES,PSDB,PE,dep.betinhogomes@camara.leg.br,3215-5269
BETO FARO,PT,PA,dep.betofaro@camara.leg.br,3215-5723
BETO MANSUR,PRB,SP,dep.betomansur@camara.leg.br,3215-5616
BETO ROSADO,PP,RN,dep.betorosado@camara.leg.br,3215-5840
BETO SALAME,PP,PA,dep.betosalame@camara.leg.br,3215-5473
BILAC PINTO,PR,MG,dep.bilacpinto@camara.leg.br,3215-5806
BOHN GASS,PT,RS,dep.bohngass@camara.leg.br,3215-5469
BONIFÁCIO DE ANDRADA,PSDB,MG,dep.bonifaciodeandrada@camara.leg.br,3215-5208
BRUNA FURLAN,PSDB,SP,dep.brunafurlan@camara.leg.br,3215-5836
BRUNNY,PR,MG,dep.brunny@camara.leg.br,3215-5260
BRUNO ARAÚJO,PSDB,PE,dep.brunoaraujo@camara.leg.br,3215-5718
CABO DACIOLO,AVANTE,RJ,dep.cabodaciolo@camara.leg.br,3215-5803
CABO SABINO,PR,CE,dep.cabosabino@camara.leg.br,3215-5617
CABUÇU BORGES,PMDB,AP,dep.cabucuborges@camara.leg.br,3215-5380
CACÁ LEÃO,PP,BA,dep.cacaleao@camara.leg.br,3215-5320
CAETANO,PT,BA,dep.caetano@camara.leg.br,3215-5415
CAIO NARCIO,PSDB,MG,dep.caionarcio@camara.leg.br,3215-5431
CAJAR NARDES,PODE,RS,dep.cajarnardes@camara.leg.br,3215-5379
CAPITÃO AUGUSTO,PR,SP,dep.capitaoaugusto@camara.leg.br,3215-5273
CARLOS ANDRADE,PHS,RR,dep.carlosandrade@camara.leg.br,3215-5758
CARLOS BEZERRA,PMDB,MT,dep.carlosbezerra@camara.leg.br,3215-5815
CARLOS EDUARDO CADOCA,PDT,PE,dep.carloseduardocadoca@camara.leg.br,3215-5583
CARLOS GOMES,PRB,RS,dep.carlosgomes@camara.leg.br,3215-5285
CARLOS HENRIQUE GAGUIM,PODE,TO,dep.carloshenriquegaguim@camara.leg.br,3215-5222
CARLOS MANATO,SD,ES,dep.carlosmanato@camara.leg.br,3215-5313
CARLOS MELLES,DEM,MG,dep.carlosmelles@camara.leg.br,3215-5243
CARLOS SAMPAIO,PSDB,SP,dep.carlossampaio@camara.leg.br,3215-5207
CARLOS SOUZA,PSDB,AM,dep.carlossouza@camara.leg.br,3215-5521
CARLOS ZARATTINI,PT,SP,dep.carloszarattini@camara.leg.br,3215-5808
CARMEN ZANOTTO,PPS,SC,dep.carmenzanotto@camara.leg.br,3215-5240
CÉLIO SILVEIRA,PSDB,GO,dep.celiosilveira@camara.leg.br,3215-5565
CELSO JACOB,PMDB,RJ,dep.celsojacob@camara.leg.br,3215-5382
CELSO MALDANER,PMDB,SC,dep.celsomaldaner@camara.leg.br,3215-5311
CELSO PANSERA,PMDB,RJ,dep.celsopansera@camara.leg.br,3215-5475
CELSO RUSSOMANNO,PRB,SP,dep.celsorussomanno@camara.leg.br,3215-5960
CÉSAR HALUM,PRB,TO,dep.cesarhalum@camara.leg.br,3215-5422
CÉSAR MESSIAS,PSB,AC,dep.cesarmessias@camara.leg.br,3215-5956
CESAR SOUZA,PSD,SC,dep.cesarsouza@camara.leg.br,3215-5609
CHICO ALENCAR,PSOL,RJ,dep.chicoalencar@camara.leg.br,3215-5848
CHICO D'ANGELO,PT,RJ,dep.chicod'angelo@camara.leg.br,3215-5542
CHICO LOPES,PCdoB,CE,dep.chicolopes@camara.leg.br,3215-5310
CHRISTIANE DE SOUZA YARED,PR,PR,dep.christianedesouzayared@camara.leg.br,3215-5201
CÍCERO ALMEIDA,PODE,AL,dep.ciceroalmeida@camara.leg.br,3215-5760
CLAUDIO CAJADO,DEM,BA,dep.claudiocajado@camara.leg.br,3215-5630
CLEBER VERDE,PRB,MA,dep.cleberverde@camara.leg.br,3215-5710
CONCEIÇÃO SAMPAIO,PP,AM,dep.conceicaosampaio@camara.leg.br,3215-5515
COVATTI FILHO,PP,RS,dep.covattifilho@camara.leg.br,3215-5228
CREUZA PEREIRA,PSB,PE,dep.creuzapereira@camara.leg.br,3215-5662
CRISTIANE BRASIL,PTB,RJ,dep.cristianebrasil@camara.leg.br,3215-5644
DAGOBERTO NOGUEIRA,PDT,MS,dep.dagobertonogueira@camara.leg.br,3215-5654
DAMIÃO FELICIANO,PDT,PB,dep.damiaofeliciano@camara.leg.br,3215-5938
DÂMINA PEREIRA,PSL,MG,dep.daminapereira@camara.leg.br,3215-5434
DANIEL ALMEIDA,PCdoB,BA,dep.danielalmeida@camara.leg.br,3215-5317
DANIEL COELHO,PSDB,PE,dep.danielcoelho@camara.leg.br,3215-5813
DANIEL VILELA,PMDB,GO,dep.danielvilela@camara.leg.br,3215-5471
DANILO CABRAL,PSB,PE,dep.danilocabral@camara.leg.br,3215-5423
DANILO FORTE,DEM,CE,dep.daniloforte@camara.leg.br,3215-5384
DANRLEI DE DEUS HINTERHOLZ,PSD,RS,dep.danrleidedeushinterholz@camara.leg.br,3215-5566
DARCÍSIO PERONDI,PMDB,RS,dep.darcisioperondi@camara.leg.br,3215-5518
DAVIDSON MAGALHÃES,PCdoB,BA,dep.davidsonmagalhaes@camara.leg.br,3215-5642
DÉCIO LIMA,PT,SC,dep.deciolima@camara.leg.br,3215-5218
DEJORGE PATRÍCIO,PRB,RJ,dep.dejorgepatricio@camara.leg.br,3215-5714
DELEGADO ÉDER MAURO,PSD,PA,dep.delegadoedermauro@camara.leg.br,3215-5586
DELEGADO EDSON MOREIRA,PR,MG,dep.delegadoedsonmoreira@camara.leg.br,3215-5933
DELEGADO FRANCISCHINI,SD,PR,dep.delegadofrancischini@camara.leg.br,3215-5265
DELEGADO WALDIR,PR,GO,dep.delegadowaldir@camara.leg.br,3215-5645
DELEY,PTB,RJ,dep.deley@camara.leg.br,3215-5742
DEOCLIDES MACEDO,PDT,MA,dep.deoclidesmacedo@camara.leg.br,3215-5350
DIEGO ANDRADE,PSD,MG,dep.diegoandrade@camara.leg.br,3215-5307
DIEGO GARCIA,PHS,PR,dep.diegogarcia@camara.leg.br,3215-5745
DILCEU SPERAFICO,PP,PR,dep.dilceusperafico@camara.leg.br,3215-5746
DIMAS FABIANO,PP,MG,dep.dimasfabiano@camara.leg.br,3215-5325
DOMINGOS NETO,PSD,CE,dep.domingosneto@camara.leg.br,3215-5546
DOMINGOS SÁVIO,PSDB,MG,dep.domingossavio@camara.leg.br,3215-5345
DR. JORGE SILVA,PHS,ES,dep.dr.jorgesilva@camara.leg.br,3215-5227
DR. SINVAL MALHEIROS,PODE,SP,dep.dr.sinvalmalheiros@camara.leg.br,3215-5520
DULCE MIRANDA,PMDB,TO,dep.dulcemiranda@camara.leg.br,3215-5530
EDIO LOPES,PR,RR,dep.ediolopes@camara.leg.br,3215-5408
EDMAR ARRUDA,PSD,PR,dep.edmararruda@camara.leg.br,3215-5962
EDMILSON RODRIGUES,PSOL,PA,dep.edmilsonrodrigues@camara.leg.br,3215-5301
EDUARDO BARBOSA,PSDB,MG,dep.eduardobarbosa@camara.leg.br,3215-5540
EDUARDO BOLSONARO,PSC,SP,dep.eduardobolsonaro@camara.leg.br,3215-5481
EDUARDO CURY,PSDB,SP,dep.eduardocury@camara.leg.br,3215-5368
EDUARDO DA FONTE,PP,PE,dep.eduardodafonte@camara.leg.br,3215-5628
EFRAIM FILHO,DEM,PB,dep.efraimfilho@camara.leg.br,3215-5744
ELCIONE BARBALHO,PMDB,PA,dep.elcionebarbalho@camara.leg.br,3215-5919
ELI CORRÊA FILHO,DEM,SP,dep.elicorreafilho@camara.leg.br,3215-5850
ELIZEU DIONIZIO,PSDB,MS,dep.elizeudionizio@camara.leg.br,3215-5531
ELIZIANE GAMA,PPS,MA,dep.elizianegama@camara.leg.br,3215-5205
ELMAR NASCIMENTO,DEM,BA,dep.elmarnascimento@camara.leg.br,3215-5935
ENIO VERRI,PT,PR,dep.enioverri@camara.leg.br,3215-5472
ERIKA KOKAY,PT,DF,dep.erikakokay@camara.leg.br,3215-5203
ERIVELTON SANTANA,PEN,BA,dep.eriveltonsantana@camara.leg.br,3215-5756
EROS BIONDINI,PROS,MG,dep.erosbiondini@camara.leg.br,3215-5321
ESPERIDIÃO AMIN,PP,SC,dep.esperidiaoamin@camara.leg.br,3215-5252
EVAIR VIEIRA DE MELO,PV,ES,dep.evairvieirademelo@camara.leg.br,3215-5443
EVANDRO GUSSI,PV,SP,dep.evandrogussi@camara.leg.br,3215-5433
EVANDRO ROMAN,PSD,PR,dep.evandroroman@camara.leg.br,3215-5303
EXPEDITO NETTO,PSD,RO,dep.expeditonetto@camara.leg.br,3215-5943
EZEQUIEL FONSECA,PP,MT,dep.ezequielfonseca@camara.leg.br,3215-5658
EZEQUIEL TEIXEIRA,PODE,RJ,dep.ezequielteixeira@camara.leg.br,3215-5210
FÁBIO FARIA,PSD,RN,dep.fabiofaria@camara.leg.br,3215-5706
FABIO GARCIA,S.PART.,MT,dep.fabiogarcia@camara.leg.br,3215-5278
FÁBIO MITIDIERI,PSD,SE,dep.fabiomitidieri@camara.leg.br,3215-5286
FÁBIO RAMALHO,PMDB,MG,dep.fabioramalho@camara.leg.br,3215-5452
FABIO REIS,PMDB,SE,dep.fabioreis@camara.leg.br,3215-5456
FÁBIO SOUSA,PSDB,GO,dep.fabiosousa@camara.leg.br,3215-5271
FÁBIO TRAD,PMDB,MS,dep.fabiotrad@camara.leg.br,3215-5856
FAUSTO PINATO,PP,SP,dep.faustopinato@camara.leg.br,3215-5562
FELIPE BORNIER,PROS,RJ,dep.felipebornier@camara.leg.br,3215-5216
FELIPE MAIA,DEM,RN,dep.felipemaia@camara.leg.br,3215-5528
FÉLIX MENDONÇA JÚNIOR,PDT,BA,dep.felixmendoncajunior@camara.leg.br,3215-5912
FERNANDO MONTEIRO,PP,PE,dep.fernandomonteiro@camara.leg.br,3215-5282
FERNANDO TORRES,PSD,BA,dep.fernandotorres@camara.leg.br,3215-5576
FLÁVIA MORAIS,PDT,GO,dep.flaviamorais@camara.leg.br,3215-5738
FLAVIANO MELO,PMDB,AC,dep.flavianomelo@camara.leg.br,3215-5224
FLAVINHO,PSB,SP,dep.flavinho@camara.leg.br,3215-5369
FRANCISCO CHAPADINHA,PODE,PA,dep.franciscochapadinha@camara.leg.br,3215-5385
FRANCISCO FLORIANO,DEM,RJ,dep.franciscofloriano@camara.leg.br,3215-5719
FRANKLIN,PP,MG,dep.franklin@camara.leg.br,3215-5627
GABRIEL GUIMARÃES,PT,MG,dep.gabrielguimaraes@camara.leg.br,3215-5821
GENECIAS NORONHA,SD,CE,dep.geneciasnoronha@camara.leg.br,3215-5244
GEORGE HILTON,PSB,MG,dep.georgehilton@camara.leg.br,3215-5804
GEOVANIA DE SÁ,PSDB,SC,dep.geovaniadesa@camara.leg.br,3215-5606
GERALDO RESENDE,PSDB,MS,dep.geraldoresende@camara.leg.br,3215-5905
GIACOBO,PR,PR,dep.giacobo@camara.leg.br,3215-5762
GILBERTO NASCIMENTO,PSC,SP,dep.gilbertonascimento@camara.leg.br,3215-5834
GIOVANI CHERINI,PR,RS,dep.giovanicherini@camara.leg.br,3215-5468
GIUSEPPE VECCI,PSDB,GO,dep.giuseppevecci@camara.leg.br,3215-5383
GIVALDO CARIMBÃO,PHS,AL,dep.givaldocarimbao@camara.leg.br,3215-5732
GIVALDO VIEIRA,PT,ES,dep.givaldovieira@camara.leg.br,3215-5805
GLAUBER BRAGA,PSOL,RJ,dep.glauberbraga@camara.leg.br,3215-5362
GONZAGA PATRIOTA,PSB,PE,dep.gonzagapatriota@camara.leg.br,3215-5430
GORETE PEREIRA,PR,CE,dep.goretepereira@camara.leg.br,3215-5206
GOULART,PSD,SP,dep.goulart@camara.leg.br,3215-5533
GUILHERME MUSSI,PP,SP,dep.guilhermemussi@camara.leg.br,3215-5712
HEITOR SCHUCH,PSB,RS,dep.heitorschuch@camara.leg.br,3215-5277
HELDER SALOMÃO,PT,ES,dep.heldersalomao@camara.leg.br,3215-5573
HÉLIO LEITE,DEM,PA,dep.helioleite@camara.leg.br,3215-5403
HENRIQUE FONTANA,PT,RS,dep.henriquefontana@camara.leg.br,3215-5256
HERÁCLITO FORTES,PSB,PI,dep.heraclitofortes@camara.leg.br,3215-5708
HERCULANO PASSOS,PSD,SP,dep.herculanopassos@camara.leg.br,3215-5926
HERMES PARCIANELLO,PMDB,PR,dep.hermesparcianello@camara.leg.br,3215-5234
HEULER CRUVINEL,PSD,GO,dep.heulercruvinel@camara.leg.br,3215-5536
HILDO ROCHA,PMDB,MA,dep.hildorocha@camara.leg.br,3215-5734
HIRAN GONÇALVES,PP,RR,dep.hirangoncalves@camara.leg.br,3215-5274
HISSA ABRAHÃO,PDT,AM,dep.hissaabrahao@camara.leg.br,3215-5272
HUGO LEAL,PSB,RJ,dep.hugoleal@camara.leg.br,3215-5631
HUGO MOTTA,PMDB,PB,dep.hugomotta@camara.leg.br,3215-5237
IRACEMA PORTELLA,PP,PI,dep.iracemaportella@camara.leg.br,3215-5924
IRAJÁ ABREU,PSD,TO,dep.irajaabreu@camara.leg.br,3215-5802
IRMÃO LAZARO,PSC,BA,dep.irmaolazaro@camara.leg.br,3215-5450
IVAN VALENTE,PSOL,SP,dep.ivanvalente@camara.leg.br,3215-5716
IZALCI LUCAS,PSDB,DF,dep.izalcilucas@camara.leg.br,3215-5602
IZAQUE SILVA,PSDB,SP,dep.izaquesilva@camara.leg.br,3215-5915
JAIME MARTINS,PSD,MG,dep.jaimemartins@camara.leg.br,3215-5904
JAIR BOLSONARO,PSC,RJ,dep.jairbolsonaro@camara.leg.br,3215-5482
JANDIRA FEGHALI,PCdoB,RJ,dep.jandirafeghali@camara.leg.br,3215-5622
JANETE CAPIBERIBE,PSB,AP,dep.janetecapiberibe@camara.leg.br,3215-5209
JARBAS VASCONCELOS,PMDB,PE,dep.jarbasvasconcelos@camara.leg.br,3215-5304
JEAN WYLLYS,PSOL,RJ,dep.jeanwyllys@camara.leg.br,3215-5646
JEFFERSON CAMPOS,PSD,SP,dep.jeffersoncampos@camara.leg.br,3215-5346
JERÔNIMO GOERGEN,PP,RS,dep.jeronimogoergen@camara.leg.br,3215-5316
JÉSSICA SALES,PMDB,AC,dep.jessicasales@camara.leg.br,3215-5952
JHC,PSB,AL,dep.jhc@camara.leg.br,3215-5958
JHONATAN DE JESUS,PRB,RR,dep.jhonatandejesus@camara.leg.br,3215-5535
JÔ MORAES,PCdoB,MG,dep.jomoraes@camara.leg.br,3215-5322
JOÃO ARRUDA,PMDB,PR,dep.joaoarruda@camara.leg.br,3215-5633
JOÃO CAMPOS,PRB,GO,dep.joaocampos@camara.leg.br,3215-5315
JOÃO CARLOS BACELAR,PR,BA,dep.joaocarlosbacelar@camara.leg.br,3215-5928
JOÃO DANIEL,PT,SE,dep.joaodaniel@camara.leg.br,3215-5605
JOÃO DERLY,REDE,RS,dep.joaoderly@camara.leg.br,3215-5901
JOÃO FERNANDO COUTINHO,PSB,PE,dep.joaofernandocoutinho@camara.leg.br,3215-5567
JOÃO GUALBERTO,PSDB,BA,dep.joaogualberto@camara.leg.br,3215-5358
JOÃO MARCELO SOUZA,PMDB,MA,dep.joaomarcelosouza@camara.leg.br,3215-5639
JOÃO PAULO KLEINÜBING,PSD,SC,dep.joaopaulokleinubing@camara.leg.br,3215-5703
JOÃO PAULO PAPA,PSDB,SP,dep.joaopaulopapa@camara.leg.br,3215-5476
JOÃO RODRIGUES,PSD,SC,dep.joaorodrigues@camara.leg.br,3215-5503
JOAQUIM PASSARINHO,PSD,PA,dep.joaquimpassarinho@camara.leg.br,3215-5339
JONY MARCOS,PRB,SE,dep.jonymarcos@camara.leg.br,3215-5807
JORGE BOEIRA,PP,SC,dep.jorgeboeira@camara.leg.br,3215-5342
JORGE CÔRTE REAL,PTB,PE,dep.jorgecortereal@camara.leg.br,3215-5621
JORGE SOLLA,PT,BA,dep.jorgesolla@camara.leg.br,3215-5571
JORGE TADEU MUDALEN,DEM,SP,dep.jorgetadeumudalen@camara.leg.br,3215-5538
JORGINHO MELLO,PR,SC,dep.jorginhomello@camara.leg.br,3215-5329
JOSÉ AIRTON CIRILO,PT,CE,dep.joseairtoncirilo@camara.leg.br,3215-5319
JOSÉ CARLOS ALELUIA,DEM,BA,dep.josecarlosaleluia@camara.leg.br,3215-5854
JOSÉ CARLOS ARAÚJO,PR,BA,dep.josecarlosaraujo@camara.leg.br,3215-5232
JOSÉ FOGAÇA ,PMDB,RS,dep.josefogaca@camara.leg.br,3215-5376
JOSÉ GUIMARÃES,PT,CE,dep.joseguimaraes@camara.leg.br,3215-5306
JOSÉ MENTOR,PT,SP,dep.josementor@camara.leg.br,3215-5502
JOSÉ NUNES,PSD,BA,dep.josenunes@camara.leg.br,3215-5728
JOSÉ OTÁVIO GERMANO,PP,RS,dep.joseotaviogermano@camara.leg.br,3215-5424
JOSÉ PRIANTE,PMDB,PA,dep.josepriante@camara.leg.br,3215-5752
JOSÉ REINALDO,S.PART.,MA,dep.josereinaldo@camara.leg.br,3215-5529
JOSÉ ROCHA,PR,BA,dep.joserocha@camara.leg.br,3215-5908
JOSE STÉDILE,PSB,RS,dep.josestedile@camara.leg.br,3215-5354
JOSI NUNES,PMDB,TO,dep.josinunes@camara.leg.br,3215-5950
JOSUÉ BENGTSON,PTB,PA,dep.josuebengtson@camara.leg.br,3215-5505
JOVAIR ARANTES,PTB,GO,dep.jovairarantes@camara.leg.br,3215-5504
JOZI ARAÚJO,PODE,AP,dep.joziaraujo@camara.leg.br,3215-5309
JÚLIA MARINHO,PSC,PA,dep.juliamarinho@camara.leg.br,3215-5707
JÚLIO CESAR,PSD,PI,dep.juliocesar@camara.leg.br,3215-5944
JÚLIO DELGADO,PSB,MG,dep.juliodelgado@camara.leg.br,3215-5323
JULIO LOPES,PP,RJ,dep.juliolopes@camara.leg.br,3215-5544
JUNIOR MARRECA,PEN,MA,dep.juniormarreca@camara.leg.br,3215-5537
JUSCELINO FILHO,DEM,MA,dep.juscelinofilho@camara.leg.br,3215-5370
JUTAHY JUNIOR,PSDB,BA,dep.jutahyjunior@camara.leg.br,3215-5407
KEIKO OTA,PSB,SP,dep.keikoota@camara.leg.br,3215-5523
LAERCIO OLIVEIRA,SD,SE,dep.laerciooliveira@camara.leg.br,3215-5629
LAERTE BESSA,PR,DF,dep.laertebessa@camara.leg.br,3215-5340
LAUDIVIO CARVALHO,SD,MG,dep.laudiviocarvalho@camara.leg.br,3215-5717
LAURA CARNEIRO,PMDB,RJ,dep.lauracarneiro@camara.leg.br,3215-5419
LÁZARO BOTELHO,PP,TO,dep.lazarobotelho@camara.leg.br,3215-5478
LEANDRE,PV,PR,dep.leandre@camara.leg.br,3215-5454
LELO COIMBRA,PMDB,ES,dep.lelocoimbra@camara.leg.br,3215-5801
LEO DE BRITO,PT,AC,dep.leodebrito@camara.leg.br,3215-5619
LEONARDO MONTEIRO,PT,MG,dep.leonardomonteiro@camara.leg.br,3215-5922
LEONARDO QUINTÃO,PMDB,MG,dep.leonardoquintao@camara.leg.br,3215-5914
LEÔNIDAS CRISTINO,PDT,CE,dep.leonidascristino@camara.leg.br,3215-5948
LEOPOLDO MEYER,PSB,PR,dep.leopoldomeyer@camara.leg.br,3215-5233
LINCOLN PORTELA,PRB,MG,dep.lincolnportela@camara.leg.br,3215-5615
LINDOMAR GARÇON,PRB,RO,dep.lindomargarcon@camara.leg.br,3215-5548
LOBBE NETO,PSDB,SP,dep.lobbeneto@camara.leg.br,3215-5275
LUANA COSTA,PSB,MA,dep.luanacosta@camara.leg.br,3215-5324
LUCAS VERGILIO,SD,GO,dep.lucasvergilio@camara.leg.br,3215-5816
LUCIANA SANTOS,PCdoB,PE,dep.lucianasantos@camara.leg.br,3215-5524
LUCIANO BIVAR,PSL,PE,dep.lucianobivar@camara.leg.br,3215-5525
LUCIANO DUCCI,PSB,PR,dep.lucianoducci@camara.leg.br,3215-5427
LUCIO MOSQUINI,PMDB,RO,dep.luciomosquini@camara.leg.br,3215-5333
LÚCIO VALE,PR,PA,dep.luciovale@camara.leg.br,3215-5822
LUCIO VIEIRA LIMA,PMDB,BA,dep.luciovieiralima@camara.leg.br,3215-5612
LUIS CARLOS HEINZE,PP,RS,dep.luiscarlosheinze@camara.leg.br,3215-5526
LUIS TIBÉ,AVANTE,MG,dep.luistibe@camara.leg.br,3215-5632
LUIZ CARLOS HAULY,PSDB,PR,dep.luizcarloshauly@camara.leg.br,3215-5220
LUIZ CARLOS RAMOS ,PODE,RJ,dep.luizcarlosramos@camara.leg.br,3215-5636
LUIZ CLÁUDIO,PR,RO,dep.luizclaudio@camara.leg.br,3215-5643
LUIZ COUTO,PT,PB,dep.luizcouto@camara.leg.br,3215-5442
LUIZ FERNANDO FARIA,PP,MG,dep.luizfernandofaria@camara.leg.br,3215-5832
LUIZ LAURO FILHO,PSB,SP,dep.luizlaurofilho@camara.leg.br,3215-5418
LUIZ NISHIMORI,PR,PR,dep.luiznishimori@camara.leg.br,3215-5907
LUIZ SÉRGIO,PT,RJ,dep.luizsergio@camara.leg.br,3215-5409
LUIZA ERUNDINA,PSOL,SP,dep.luizaerundina@camara.leg.br,3215-5620
LUIZIANNE LINS,PT,CE,dep.luiziannelins@camara.leg.br,3215-5713
MACEDO,PP,CE,dep.macedo@camara.leg.br,3215-5214
MAGDA MOFATTO,PR,GO,dep.magdamofatto@camara.leg.br,3215-5934
MAIA FILHO,PP,PI,dep.maiafilho@camara.leg.br,3215-5624
MAJOR OLIMPIO,SD,SP,dep.majorolimpio@camara.leg.br,3215-5279
MANDETTA,DEM,MS,dep.mandetta@camara.leg.br,3215-5577
MARA GABRILLI,PSDB,SP,dep.maragabrilli@camara.leg.br,3215-5226
MARCELO AGUIAR,DEM,SP,dep.marceloaguiar@camara.leg.br,3215-5367
MARCELO ÁLVARO ANTÔNIO,PR,MG,dep.marceloalvaroantonio@camara.leg.br,3215-5824
MARCELO ARO,PHS,MG,dep.marceloaro@camara.leg.br,3215-5280
MARCELO CASTRO,PMDB,PI,dep.marcelocastro@camara.leg.br,3215-5811
MARCELO DELAROLI,PR,RJ,dep.marcelodelaroli@camara.leg.br,3215-5509
MARCELO MATOS,PHS,RJ,dep.marcelomatos@camara.leg.br,3215-5579
